Size 	 Eventname 	  vecmul 	 ExeTime 	 Desc 	 P1Power 	 dramPower
Size 	 Eventname 	  vecmul 	 ExeTime 	 Desc 	 P1Power 	 dramPower
5000 	 PAPI_L1_DCM 		3106789	70166	Level_1_data_cache_misses_____Level_1	12.865201J	1.380381J
5000 	 PAPI_L1_ICM 		384	70481	Level_1_instruction_cache_misses_____Level_1		
5000 	 PAPI_L1_TCM 		2776507	70367	Level_1_cache_misses______Level_1		
5000 	 PAPI_L1_LDM 		105390	70347	Level_1_load_misses______Level_1		
5000 	 PAPI_L1_STM 		10209	70592	Level_1_store_misses______Level_1		
5000 	 PAPI_L2_DCM 		58687	70574	Level_2_data_cache_misses_____Level_2		
5000 	 PAPI_L2_ICM 		176	70444	Level_2_instruction_cache_misses_____Level_2		
5000 	 PAPI_L2_TCM 		53518	70350	Level_2_cache_misses______Level_2		
5000 	 PAPI_L2_LDM 		24536	70676	Level_2_load_misses______Level_2		
5000 	 PAPI_L2_STM 		14	70463	Level_2_store_misses______Level_2		
5000 	 PAPI_L3_TCM 		57636	70210	Level_3_cache_misses______Level_3		
5000 	 PAPI_L3_LDM 		489	69924	Level_3_load_misses______Level_3		
5000 	 PAPI_L3_DCA 		60961	70452	Level_3_data_cache_accesses_____Level_3		
5000 	 PAPI_L3_DCR 		53308	70125	Level_3_data_cache_reads_____Level_3		
5000 	 PAPI_L3_DCW 		22	70485	Level_3_data_cache_writes_____Level_3		
